antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,rule_name,antecedent_items,n_items,cluster
"frozenset({'Age_bin_nan', 'JobLevel_-0.963503753471408', 'OverTime_Yes_True', 'YearsAtCompany_bin_nan'})","frozenset({'TotalWorkingYears_bin_nan', 'MonthlyIncome_bin_nan', 'AttritionLabel_Leave'})",0.0918918918918919,0.1128378378378378,0.0493243243243243,0.5367647058823529,4.756956674885523,1.0,0.0389554419284149,1.915143715143715,0.869699934768428,0.317391304347826,0.4778459746427131,0.4869452271926734,"Age_bin_nan, JobLevel_-0.963503753471408, OverTime_Yes_True, YearsAtCompany_bin_nan → TotalWorkingYears_bin_nan, MonthlyIncome_bin_nan, AttritionLabel_Leave","[""frozenset('Age_bin_nan'"", ""'JobLevel_-0.963503753471408'"", ""'OverTime_Yes_True'"", ""'YearsAtCompany_bin_nan')""]",4,6
"frozenset({'Age_bin_nan', 'TotalWorkingYears_bin_nan', 'MonthlyIncome_bin_nan', 'AttritionLabel_Leave'})","frozenset({'JobLevel_-0.963503753471408', 'OverTime_Yes_True', 'YearsAtCompany_bin_nan'})",0.1128378378378378,0.0918918918918919,0.0493243243243243,0.437125748502994,4.756956674885523,1.0,0.0389554419284149,1.6133410005750433,0.8902335965946439,0.317391304347826,0.3801682349586541,0.4869452271926734,"Age_bin_nan, TotalWorkingYears_bin_nan, MonthlyIncome_bin_nan, AttritionLabel_Leave → JobLevel_-0.963503753471408, OverTime_Yes_True, YearsAtCompany_bin_nan","[""frozenset('Age_bin_nan'"", ""'TotalWorkingYears_bin_nan'"", ""'MonthlyIncome_bin_nan'"", ""'AttritionLabel_Leave')""]",4,1
"frozenset({'JobLevel_-0.963503753471408', 'OverTime_Yes_True', 'YearsAtCompany_bin_nan'})","frozenset({'TotalWorkingYears_bin_nan', 'MonthlyIncome_bin_nan', 'AttritionLabel_Leave'})",0.0918918918918919,0.1128378378378378,0.0493243243243243,0.5367647058823529,4.756956674885523,1.0,0.0389554419284149,1.915143715143715,0.869699934768428,0.317391304347826,0.4778459746427131,0.4869452271926734,"JobLevel_-0.963503753471408, OverTime_Yes_True, YearsAtCompany_bin_nan → TotalWorkingYears_bin_nan, MonthlyIncome_bin_nan, AttritionLabel_Leave","[""frozenset('JobLevel_-0.963503753471408'"", ""'OverTime_Yes_True'"", ""'YearsAtCompany_bin_nan')""]",3,6
"frozenset({'JobLevel_-0.963503753471408', 'OverTime_Yes_True', 'YearsAtCompany_bin_nan'})","frozenset({'Age_bin_nan', 'TotalWorkingYears_bin_nan', 'MonthlyIncome_bin_nan', 'AttritionLabel_Leave'})",0.0918918918918919,0.1128378378378378,0.0493243243243243,0.5367647058823529,4.756956674885523,1.0,0.0389554419284149,1.915143715143715,0.869699934768428,0.317391304347826,0.4778459746427131,0.4869452271926734,"JobLevel_-0.963503753471408, OverTime_Yes_True, YearsAtCompany_bin_nan → Age_bin_nan, TotalWorkingYears_bin_nan, MonthlyIncome_bin_nan, AttritionLabel_Leave","[""frozenset('JobLevel_-0.963503753471408'"", ""'OverTime_Yes_True'"", ""'YearsAtCompany_bin_nan')""]",3,6
"frozenset({'TotalWorkingYears_bin_nan', 'MonthlyIncome_bin_nan', 'AttritionLabel_Leave'})","frozenset({'JobLevel_-0.963503753471408', 'OverTime_Yes_True', 'YearsAtCompany_bin_nan'})",0.1128378378378378,0.0918918918918919,0.0493243243243243,0.437125748502994,4.756956674885523,1.0,0.0389554419284149,1.6133410005750433,0.8902335965946439,0.317391304347826,0.3801682349586541,0.4869452271926734,"TotalWorkingYears_bin_nan, MonthlyIncome_bin_nan, AttritionLabel_Leave → JobLevel_-0.963503753471408, OverTime_Yes_True, YearsAtCompany_bin_nan","[""frozenset('TotalWorkingYears_bin_nan'"", ""'MonthlyIncome_bin_nan'"", ""'AttritionLabel_Leave')""]",3,1
"frozenset({'TotalWorkingYears_bin_nan', 'MonthlyIncome_bin_nan', 'AttritionLabel_Leave'})","frozenset({'Age_bin_nan', 'JobLevel_-0.963503753471408', 'OverTime_Yes_True', 'YearsAtCompany_bin_nan'})",0.1128378378378378,0.0918918918918919,0.0493243243243243,0.437125748502994,4.756956674885523,1.0,0.0389554419284149,1.6133410005750433,0.8902335965946439,0.317391304347826,0.3801682349586541,0.4869452271926734,"TotalWorkingYears_bin_nan, MonthlyIncome_bin_nan, AttritionLabel_Leave → Age_bin_nan, JobLevel_-0.963503753471408, OverTime_Yes_True, YearsAtCompany_bin_nan","[""frozenset('TotalWorkingYears_bin_nan'"", ""'MonthlyIncome_bin_nan'"", ""'AttritionLabel_Leave')""]",3,1
"frozenset({'TotalWorkingYears_bin_nan', 'JobLevel_-0.963503753471408', 'OverTime_Yes_True'})","frozenset({'Age_bin_nan', 'MonthlyIncome_bin_nan', 'AttritionLabel_Leave', 'YearsAtCompany_bin_nan'})",0.0986486486486486,0.1087837837837837,0.0493243243243243,0.5,4.596273291925466,1.0,0.0385929510591672,1.7824324324324323,0.8680659670164916,0.3119658119658119,0.4389689158453373,0.4767080745341615,"TotalWorkingYears_bin_nan, JobLevel_-0.963503753471408, OverTime_Yes_True → Age_bin_nan, MonthlyIncome_bin_nan, AttritionLabel_Leave, YearsAtCompany_bin_nan","[""frozenset('TotalWorkingYears_bin_nan'"", ""'JobLevel_-0.963503753471408'"", ""'OverTime_Yes_True')""]",3,0
"frozenset({'MonthlyIncome_bin_nan', 'AttritionLabel_Leave', 'YearsAtCompany_bin_nan'})","frozenset({'Age_bin_nan', 'TotalWorkingYears_bin_nan', 'JobLevel_-0.963503753471408', 'OverTime_Yes_True'})",0.1087837837837837,0.0986486486486486,0.0493243243243243,0.453416149068323,4.596273291925466,1.0,0.0385929510591672,1.6490632678132682,0.8779378316906746,0.3119658119658119,0.3935951279018876,0.4767080745341615,"MonthlyIncome_bin_nan, AttritionLabel_Leave, YearsAtCompany_bin_nan → Age_bin_nan, TotalWorkingYears_bin_nan, JobLevel_-0.963503753471408, OverTime_Yes_True","[""frozenset('MonthlyIncome_bin_nan'"", ""'AttritionLabel_Leave'"", ""'YearsAtCompany_bin_nan')""]",3,4
"frozenset({'TotalWorkingYears_bin_nan', 'JobLevel_-0.963503753471408', 'OverTime_Yes_True'})","frozenset({'MonthlyIncome_bin_nan', 'AttritionLabel_Leave', 'YearsAtCompany_bin_nan'})",0.0986486486486486,0.1087837837837837,0.0493243243243243,0.5,4.596273291925466,1.0,0.0385929510591672,1.7824324324324323,0.8680659670164916,0.3119658119658119,0.4389689158453373,0.4767080745341615,"TotalWorkingYears_bin_nan, JobLevel_-0.963503753471408, OverTime_Yes_True → MonthlyIncome_bin_nan, AttritionLabel_Leave, YearsAtCompany_bin_nan","[""frozenset('TotalWorkingYears_bin_nan'"", ""'JobLevel_-0.963503753471408'"", ""'OverTime_Yes_True')""]",3,0
"frozenset({'Age_bin_nan', 'TotalWorkingYears_bin_nan', 'JobLevel_-0.963503753471408', 'OverTime_Yes_True'})","frozenset({'MonthlyIncome_bin_nan', 'AttritionLabel_Leave', 'YearsAtCompany_bin_nan'})",0.0986486486486486,0.1087837837837837,0.0493243243243243,0.5,4.596273291925466,1.0,0.0385929510591672,1.7824324324324323,0.8680659670164916,0.3119658119658119,0.4389689158453373,0.4767080745341615,"Age_bin_nan, TotalWorkingYears_bin_nan, JobLevel_-0.963503753471408, OverTime_Yes_True → MonthlyIncome_bin_nan, AttritionLabel_Leave, YearsAtCompany_bin_nan","[""frozenset('Age_bin_nan'"", ""'TotalWorkingYears_bin_nan'"", ""'JobLevel_-0.963503753471408'"", ""'OverTime_Yes_True')""]",4,0
"frozenset({'MonthlyIncome_bin_nan', 'AttritionLabel_Leave', 'YearsAtCompany_bin_nan'})","frozenset({'TotalWorkingYears_bin_nan', 'JobLevel_-0.963503753471408', 'OverTime_Yes_True'})",0.1087837837837837,0.0986486486486486,0.0493243243243243,0.453416149068323,4.596273291925466,1.0,0.0385929510591672,1.6490632678132682,0.8779378316906746,0.3119658119658119,0.3935951279018876,0.4767080745341615,"MonthlyIncome_bin_nan, AttritionLabel_Leave, YearsAtCompany_bin_nan → TotalWorkingYears_bin_nan, JobLevel_-0.963503753471408, OverTime_Yes_True","[""frozenset('MonthlyIncome_bin_nan'"", ""'AttritionLabel_Leave'"", ""'YearsAtCompany_bin_nan')""]",3,4
"frozenset({'Age_bin_nan', 'MonthlyIncome_bin_nan', 'AttritionLabel_Leave', 'YearsAtCompany_bin_nan'})","frozenset({'TotalWorkingYears_bin_nan', 'JobLevel_-0.963503753471408', 'OverTime_Yes_True'})",0.1087837837837837,0.0986486486486486,0.0493243243243243,0.453416149068323,4.596273291925466,1.0,0.0385929510591672,1.6490632678132682,0.8779378316906746,0.3119658119658119,0.3935951279018876,0.4767080745341615,"Age_bin_nan, MonthlyIncome_bin_nan, AttritionLabel_Leave, YearsAtCompany_bin_nan → TotalWorkingYears_bin_nan, JobLevel_-0.963503753471408, OverTime_Yes_True","[""frozenset('Age_bin_nan'"", ""'MonthlyIncome_bin_nan'"", ""'AttritionLabel_Leave'"", ""'YearsAtCompany_bin_nan')""]",4,6
